Desiganation,Company Name,Experience,Location,Skills,Salaary
French Language Expert,Ienergizer,0-5 Yrs,Noida,0-5 Yrs,₹ 4L/yr - 6L/yr
French Language Expert,Ienergizer,0-4 Yrs,Noida,0-4 Yrs,₹ 6L/yr - 9L/yr
Spanish Language Specialist,Ienergizer,0-5 Yrs,Noida,0-5 Yrs,₹ 0.5L/yr - 0.7L/yr
Urgent Hiring For Customer Service Executive,Ienergizer,0-3 Yrs,Noida,0-3 Yrs,₹ 1.8L/yr - 3.3L/yr
Special Walkin For Telugu Language Customer service profile.,Ienergizer,0-5 Yrs,Chennai,0-5 Yrs,₹ 1L/yr - 2.5L/yr
Process Trainer - || Chennai || Tamil/ Telugu/ Kannada / Malyalam,Ienergizer,1-6 Yrs,Chennai,1-6 Yrs,₹ 1.3L/yr - 4.3L/yr
Customer Care Executive,Ienergizer,1-2 Yrs,"Noida, Delhi/Ncr",1-2 Yrs,₹ 1.5L/yr - 3L/yr
US Voice Process | Customer Support Representative,Ienergizer,1-4 Yrs,Noida,1-4 Yrs,₹ 3L/yr - 5L/yr
Customer Support Executive - Tech Support (Voice Campaign),Ienergizer,0-5 Yrs,Chennai,0-5 Yrs,₹ 0.5L/yr - 2L/yr
Special Walkin For Kannada Language Customer service profile.,Ienergizer,0-5 Yrs,Chennai,0-5 Yrs,₹ 1L/yr - 2.5L/yr
Special Walkin For Telugu Language Customer service profile.,Ienergizer,0-5 Yrs,Chennai,0-5 Yrs,₹ 1L/yr - 2.5L/yr
Special Walkin For Telugu Language Customer service profile.,Ienergizer,0-5 Yrs,Chennai,0-5 Yrs,₹ 1L/yr - 2.5L/yr
AM Training || Domestic || Noida Sec 60,Ienergizer,4-8 Yrs,Noida,4-8 Yrs,₹ 3L/yr - 6.5L/yr
AVP / SDL BPO perations: US Banking Noida - Sr. Manager & abv To apply,Ienergizer,14-24 Yrs,Noida,14-24 Yrs,₹ 18L/yr - 25L/yr
ienergizer Hiring For Team Leader (Virtual interview),Ienergizer,1-5 Yrs,Noida,1-5 Yrs,₹ 1.3L/yr - 4L/yr
Ienergizer Gurgaon is Customer Service Expert - 200 Postions,Ienergizer,0-3 Yrs,"New Delhi, Gurgaon / Gurugram",0-3 Yrs,₹ 1L/yr - 3.5L/yr
Ienergizer is hiring Customer Service Professionals in Pune - 200 Post,Ienergizer,1-6 Yrs,Pune,1-6 Yrs,₹ 2L/yr - 3.5L/yr
